job title,company_name,link
 Python Developer , Webinterpret ,https://nofluffjobs.com/pl/job/python-developer-webinterpret-remote-pnqst1vq
 Senior Phyton Developer , Why? ,https://nofluffjobs.com/pl/job/senior-phyton-developer-why-remote-qllezfxw
 Python Big Data Developer , ERGO Technology & Services ,https://nofluffjobs.com/pl/job/python-big-data-developer-ergo-technology-services-warsaw-mmzqipbk
" Fullstack Developer (Django, React) "," Saventic Health Sp z o.o, ",https://nofluffjobs.com/pl/job/fullstack-developer-django-react-saventic-health-torun-drcobzxu
 Data Engineer , eSky Group ,https://nofluffjobs.com/pl/job/data-engineer-esky-group-remote-uppnkh0m
 Backend/Cloud Lead Engineer , Unravel ,https://nofluffjobs.com/pl/job/backend-cloud-lead-engineer-unravel-remote-gqvwasnt
 Python Developer with Azure , Lingaro ,https://nofluffjobs.com/pl/job/python-developer-with-azure-lingaro-remote-qxqj4kyn
 Python Developer , Amartus Polska Sp. z o.o. ,https://nofluffjobs.com/pl/job/python-developer-amartus-polska-remote-gm5dq6bu
 Junior Full Stack Developer , ImpiCode ,https://nofluffjobs.com/pl/job/junior-full-stack-developer-impicode-remote-2ddxjg0t
 Python / Data Team Lead / remote , ComScore ,https://nofluffjobs.com/pl/job/python-data-team-lead-remote-comscore-imtdccoc
 Senior Python Engineer , GogoApps ,https://nofluffjobs.com/pl/job/senior-python-engineer-gogoapps-remote-4e3jtat5
 Remote Senior Data Engineer with Python , INUITS ,https://nofluffjobs.com/pl/job/remote-senior-data-engineer-with-python-inuits-bwmh1iov
 Software Engineer (Synthetic API) , Affirm ,https://nofluffjobs.com/pl/job/software-engineer-synthetic-api-affirm-remote-pmw7ytyd
 Remote Python Developer , SoftKraft ,https://nofluffjobs.com/pl/job/remote-python-developer-softkraft-lho9etqp
 Data Engineer (Remote) , deepsense.ai Sp. z o.o. ,https://nofluffjobs.com/pl/job/data-engineer-remote-deepsense-ai-9z4twu9k
 Python Developer , Devire Sp. z o.o. ,https://nofluffjobs.com/pl/job/python-developer-devire-remote-9m5vlfo2
 Remote Mid Data Scientist , ING BANK ŚLĄSKI SPÓŁKA AKCYJNA ,https://nofluffjobs.com/pl/job/remote-mid-data-scientist-ing-bank-slaski-spolka-akcyjna-ozigt4vc
 (Not so) Regular Python Developer , u2i ,https://nofluffjobs.com/pl/job/not-so-regular-python-developer-u2i-krakow-6cap13mm
 Senior Python Software Engineer Security , CodiLime ,https://nofluffjobs.com/pl/job/senior-python-software-engineer-security-codilime-remote-4wpe0xrg
 Remote Fullstack Python Engineer , Solwit SA ,https://nofluffjobs.com/pl/job/remote-fullstack-python-engineer-solwit-gqshkzy7
 Senior ML Engineer / MLOps , Tango.me ,https://nofluffjobs.com/pl/job/senior-ml-engineer-mlops-tango-me-warszawa-sb0a8s8z
 Python Developer , BPX Sp. z o.o. ,https://nofluffjobs.com/pl/job/python-developer-bpx-remote-qbocxmh9
 Senior Backend Engineer , Nostos Genomics ,https://nofluffjobs.com/pl/job/senior-backend-engineer-nostos-genomics-remote-qt2if7zv
 Senior Python Cloud (AWS) Developer , PGS Software Sp z o.o. ,https://nofluffjobs.com/pl/job/senior-python-cloud-aws-developer-pgs-software-remote-tbphhvua
